dataset,1NN-DTW,1NN-ED,BOSS,ROCKET,ST,TSF,catch22
Computers,0.71,0.576,0.836,0.866,0.8099999999999999,0.782,0.7859999999999999
DistalPhalanxTW,0.6883523710626515,0.719920387677397,0.7551228798892351,0.7791969539633091,0.7588092765662859,0.7644513672551055,0.7606784354447906
ECG200,0.825,0.885,0.905,0.93,0.905,0.9,0.8150000000000001
Earthquakes,0.7331697054698457,0.713838242169238,0.7917484805984104,0.7982000935016363,0.7917484805984104,0.796096306685367,0.783076203833567
Worms,0.6082202111613876,0.5117647058823529,0.7361236802413273,0.7166666666666667,0.755656108597285,0.6744343891402715,0.7514328808446455
