dataset,1NN-DTW,1NN-ED,BOSS,InceptionTime,MiniROCKET,MultiROCKET,MultiROCKETHydra,ROCKET,ST,TSF,catch22
Computers,0.71,0.576,0.8320000000000001,0.8720000000000001,0.8320000000000001,0.884,0.8879999999999999,0.866,0.8099999999999999,0.77,0.792
EMOPain,0.9561635220125787,0.9486134934248142,,0.9697684391080618,0.9425700400228703,0.9327387078330475,0.9372727272727273,0.8541337907375643,0.861680960548885,0.9244225271583761,0.9138364779874214
Earthquakes,0.7331697054698457,0.713838242169238,0.7917484805984104,0.7895745675549322,0.7396914446002805,0.7787050023375409,0.7765310892940626,0.7982000935016363,0.7939223936418888,0.7961196820944366,0.783076203833567
MiddlePhalanxOutlineCorrect,0.7385788713828385,0.7990961019396146,0.7878789780930262,0.857416358044065,0.8597388738936665,0.8552256606616032,0.8664427845081916,0.8496202372732409,0.849588851923922,0.811461929571276,0.79686774213797
Worms,0.6082202111613876,0.5117647058823529,0.7361236802413273,0.49170437405731515,0.7711915535444948,0.7710407239819005,0.786500754147813,0.7166666666666667,0.755656108597285,0.6744343891402715,0.7514328808446455
WormsTwoClass,0.7167420814479637,0.6472096530920061,0.8601055806938159,0.46900452488687777,0.7870286576168929,0.8101809954751132,0.814027149321267,0.7792609351432881,0.7828808446455505,0.732579185520362,0.8098793363499246
